als,,阿兰属,Aa,,Latin 61209
lzjs,,肋脂菊属,Aaronsohnia,,Latin 61209
wxs,,围涎树,Abarema clypearia,,Latin 61209
xydhh,,心叶大合欢,Abarema cordifolia,,Latin 61209
dxwxs,,滇西围涎树,Abarema elliptica,,Latin 61209
lyheh,,亮叶猴耳环,Abarema lucida,,Latin 61209
dyheh,,多叶猴耳环,Abarema multifoliolata,,Latin 61209
bywxs,,薄叶围涎树,Abarema utile,,Latin 61209
ldms,,六道木属,Abelia,,Latin 61209
dhldm,,大花六道木,Abelia × grandiflora,,Latin 61209
xyldm,,狭叶六道木,Abelia angustifolia,,Latin 61209
ldm,,六道木,Abelia biflora,,Latin 61209
zyczldm,,醉鱼草状六道木,Abelia buddleioides,,Latin 61209
nmt,,糯米条,Abelia chinensis,,Latin 61209
cxldm,,朝鲜六道木,Abelia coreana,,Latin 61209
nfldm,,南方六道木,Abelia dielsii,,Latin 61209
tgh,,蓪梗花,Abelia engleriana,,Latin 61209
xsldm,,细瘦六道木,Abelia forrestii,,Latin 61209
xyldm,,小叶六道木,Abelia parvifolia,,Latin 61209
fjz,,附加种,Abelia Sect. Addenda,,Latin 61209
cyz,,存疑种,Abelia Sect. Dubia,,Latin 61209
ghldmz,,管花六道木组,Abelia Sect. Zabelia,,Latin 61209
hhldm,,黄花六道木,Abelia serrata,,Latin 61209
wzldm,,温州六道木,Abelia spathulata,,Latin 61209
syldm,,三叶六道木,Abelia trifolia,,Latin 61209
shldm,,伞花六道木,Abelia umbellata,,Latin 61209
ecldm,,二翅六道木,Abelia uniflora,,Latin 61209
cglqs,,翅果连翘属,Abeliophyllum,,Latin 61209
cglq,,翅果连翘,Abeliophyllum distichum,,Latin 61209
qks,,秋葵属,Abelmoschus,,Latin 61209
cmhk,,长毛黄葵,Abelmoschus crinitus,,Latin 61209
kfhk,,咖啡黄葵,Abelmoschus esculentus,,Latin 61209
hsk,,黄蜀葵,Abelmoschus manihot,,Latin 61209
gmhsk,,刚毛黄蜀葵,Abelmoschus manihot var. pungens,,Latin 61209
hsk,,黄蜀葵,Abelmoschus monihot,,Latin 61209
hk,,黄葵,Abelmoschus moschatus,,Latin 61209
mlqk,,木里秋葵,Abelmoschus muliensis,,Latin 61209
jyqk,,箭叶秋葵,Abelmoschus sagittifolius,,Latin 61209
lss,,冷杉属,Abies,,Latin 61209
bszls,,百山祖冷杉,Abies beshanzuensis,,Latin 61209
zyls,,资源冷杉,Abies beshanzuensis var. ziyuanensis,,Latin 61209
cyls,,察隅冷杉,Abies chayuensis,,Latin 61209
qlls,,秦岭冷杉,Abies chensiensis,,Latin 61209
csls,,苍山冷杉,Abies delavayi,,Latin 61209
mtls,,墨脱冷杉,Abies delavayi var. motuoensis,,Latin 61209
xjls,,锡金冷杉,Abies densa,,Latin 61209
hgls,,黄果冷杉,Abies ernestii,,Latin 61209
ynhgls,,云南黄果冷杉,Abies ernestii var. salouenensis,,Latin 61209
ls,,冷杉,Abies fabri,,Latin 61209
fjsls,,梵净山冷杉,Abies fanjingshanensis,,Latin 61209
bsls,,巴山冷杉,Abies fargesii,,Latin 61209
mjls,,岷江冷杉,Abies fargesii var. faxoniana,,Latin 61209
zdls,,中甸冷杉,Abies ferreana,,Latin 61209
cbzdls,,长苞中甸冷杉,Abies ferreana var. longibracteata,,Latin 61209
rbls,,日本冷杉,Abies firma,,Latin 61209
cdls,,川滇冷杉,Abies forrestii,,Latin 61209
cbls,,长苞冷杉,Abies georgei,,Latin 61209
jjcbls,,急尖长苞冷杉,Abies georgei var. smithii,,Latin 61209
ss,,杉松,Abies holophylla,,Latin 61209
twls,,台湾冷杉,Abies kawakamii,,Latin 61209
cls,,臭冷杉,Abies nephrolepis,,Latin 61209
njls,,怒江冷杉,Abies nukiangensis,,Latin 61209
zgls,,紫果冷杉,Abies recurvata,,Latin 61209
xjls,,新疆冷杉,Abies sibirica,,Latin 61209
xzls,,西藏冷杉,Abies spectabilis,,Latin 61209
lpls,,鳞皮冷杉,Abies squamata,,Latin 61209
ybsls,,元宝山冷杉,Abies yuanbaoshanensis,,Latin 61209
syx,,山羽藓,Abietinella abietina,,Latin 61209
mlsyx,,美丽山羽藓,Abietinella histricosa,,Latin 61209
cpjs,,长片蕨属,Abrodictyum,,Latin 61209
cpj,,长片蕨,Abrodictyum cumingii,,Latin 61209
smbs,,沙马鞭属,Abronia,,Latin 61209
damk,,东澳木科,Abrophyllaceae,,Latin 61209
dams,,东澳木属,Abrophyllum,,Latin 61209
dam,,东澳木,Abrophyllum ornans,,Latin 61209
djs,,垫菊属,Abrotanella,,Latin 61209
xszs,,相思子属,Abrus,,Latin 61209
gzxsz,,广州相思子,Abrus cantoniensis,,Latin 61209
mxsz,,毛相思子,Abrus mollis,,Latin 61209
xsz,,相思子,Abrus precatorius,,Latin 61209
hts,,滑藤属,Absolmsia,,Latin 61209
tpts,,脱皮藤属,Abuta,,Latin 61209
qms,,苘麻属,Abutilon,,Latin 61209
dxqm,,滇西苘麻,Abutilon gebauerianum,,Latin 61209
jnympc,,几内亚磨盘草,Abutilon guineense,,Latin 61209
xhmpc,,小花磨盘草,Abutilon guineense var. forrestii,,Latin 61209
ewqm,,恶味苘麻,Abutilon hirtum,,Latin 61209
ymewqm,,元谋恶味苘麻,Abutilon hirtum var. yuanmouense,,Latin 61209
mpc,,磨盘草,Abutilon indicum,,Latin 61209
